Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMATCH_00180	AMP	1.00
RDKIT_SHAPRULEMATCH_00181	AMP	0.98
RDKIT_SHAPRULEMATCH_00182	AMP	0.94
RDKIT_SHAPRULEMATCH_00183	AMP	0.99
RDKIT_SHAPRULEMATCH_00184	AMP	0.99
RDKIT_SHAPRULEMATCH_00185	AMP	0.99
RDKIT_SHAPRULEMATCH_00186	AMP	1.00
RDKIT_SHAPRULEMATCH_00187	AMP	0.96
RDKIT_SHAPRULEMATCH_00188	AMP	0.94
RDKIT_SHAPRULEMATCH_00189	AMP	1.00
RDKIT_SHAPRULEMATCH_00190	AMP	0.98
RDKIT_SHAPRULEMATCH_00191	AMP	0.98
RDKIT_SHAPRULEMATCH_00192	AMP	0.98
RDKIT_SHAPRULEMATCH_00193	AMP	0.98
RDKIT_SHAPRULEMATCH_00194	AMP	0.97
RDKIT_SHAPRULEMATCH_00195	AMP	0.99
RDKIT_SHAPRULEMATCH_00196	AMP	0.99
RDKIT_SHAPRULEMATCH_00197	AMP	0.97
RDKIT_SHAPRULEMATCH_00198	AMP	0.99
RDKIT_SHAPRULEMATCH_00199	AMP	0.96
RDKIT_SHAPRULEMATCH_00200	AMP	0.98
RDKIT_SHAPRULEMATCH_00201	AMP	0.96
RDKIT_SHAPRULEMATCH_00202	AMP	0.96
RDKIT_SHAPRULEMATCH_00203	AMP	0.98
RDKIT_SHAPRULEMATCH_00204	AMP	0.98
RDKIT_SHAPRULEMATCH_00205	AMP	0.99
RDKIT_SHAPRULEMATCH_00206	AMP	0.96
RDKIT_SHAPRULEMATCH_00207	AMP	0.99
RDKIT_SHAPRULEMATCH_00208	AMP	0.99
RDKIT_SHAPRULEMATCH_00209	AMP	1.00
RDKIT_SHAPRULEMATCH_00210	AMP	0.98
RDKIT_SHAPRULEMATCH_00211	AMP	0.99
RDKIT_SHAPRULEMATCH_00212	AMP	0.98
RDKIT_SHAPRULEMATCH_00213	AMP	0.98
RDKIT_SHAPRULEMATCH_00214	AMP	1.00
